A-1	絶好調！あなたの魅力が自然にこぼれて片想いも実る暗示。
K-132	電話投票やＷＩＮＳでの購入に吉。株式や投資信託とも相性◎
L-132	ボルテージＵＰ。調子に乗り始めたら大胆に賭けて行くこと
A-133	メンツ、特に上家が誰かで運が左右される。血液Ｂ型が狙い目
B-133	気分次第で流れがかわりやすい。何があっても平常心でのぞむ。
C-133	どんでん返しがあっても影響はなし。楽しめることは楽しめそう
D-133	吉凶混合。あるていどのところでさっと身を引く潔さが必要
E-133	ステップレースのタイムに注目。その線で当たる可能性が大きい
F-133	競馬新聞などの情報は無視して正解。自分の閃きを信じること
G-133	流しでの購入にツキあり。軸は自分のイニシャルと同じ馬を
H-133	テレビ・雑誌でふと目についた数字やイメージにラッキーあり
I-133	雑誌広告に載っているラッキーグッズにツキ。まがい物に注意
J-133	羽根モノで粘ればもとはとれそう。ワニ革のベルトが運気ＵＰに
K-133	人があきらめたパチンコ台にツキ。長く居座っていたものほど〇
L-133	花札やトランプなどカード類との相性○。ＣＲ機も一応ＯＫ
A-134	五分五分のところ。パチンコならモーニングに勝負をかけてみる
B-134	新装開店の店をチェックする。なければ朝イチの台に運をかける。
C-134	デマにまどわされない。最初の自分の直感だけを頼りにすること
D-134	実践よりも研究にいい日柄。クソ台にも何らかの楽しみ方が
E-134	ハイエナ打ちにラッキーが。どこまで粘れるかが勝敗の決め手
F-134	赤シャツの予想屋を見かけたら話を聞いて正解。それ以外は×
G-134	人の行く裏に道あり、花の山。薄目を押さえおくと意外な結末が
H-134	出掛けに近くの神社やお寺によって願をかけておくとツキが
I-134	見切り千両。もとがとれたら欲張らず、さっさっと引き上げる
J-134	せこく狙って小さくもうける方針で。カニ歩き打法にツキが
K-134	必勝グッズの購入に吉。雑誌で気になっていた商品をチェック
L-134	未知なるギャンブルの勉強を。新たなる楽しみが一つ増えるはず
A-135	心の不安定さが勝敗に響きそう。出がけにクラシック音楽を聞く
B-135	不安がふとよぎる暗示。少しでも迷ったら押さえをしておくこと
C-135	隣のオヤジのひとりごとを真に受けない。間違って従ったら負け
D-135	移り気で失敗の暗示。出がけに決めた買い目を途中で変えない
E-135	最初に決めた方針でいけばいいものを、ヘタに考えて失敗するかも
F-135	直感がはずれる暗示。データ重視でいくのが今日の一番の作戦
G-135	かぶりにごまかされない。決めた買い目を途中で変えると負け
H-135	勝負に弱いとき。リスクは避け、できるだけ安全なところを狙う
I-135	迷いや優柔不断さが運を曇らせる。迷ったらパスした方がいい
J-135	引き際が肝心。熱くなり始めたら、深追いせずやめるように
K-135	いいところまでいくけれども取りこぼしてしまう。落ち着いて
L-135	〈これはいただき〉と思ったレースで失敗の暗示。初心を忘れない
A-136	マナーの悪さが神の怒りを買うオソレ。恥ずかしくない行動を
B-136	胸騒ぎは単なる思い過ごし。手堅くいかないと負け通しになります
C-136	邪念を捨てることが先決。集中できなければ今日はパスした方が
D-136	ツキを呼びたければ、まず先にボランティア活動に汗すること
E-136	おいしいところをタッチの差で逃す運気。楽しめればヨシとする
F-136	人のためにした予想があたって、自分のはハズレ。欲は捨てること
G-136	調子に乗りすぎてずっこける暗示。守りの姿勢をつらぬくこと
H-136	ちょっとした番狂わせがミソのつきはじめに。手早く切り上げる
I-136	不勉強がたたってチョンボしてしまう。初心を忘れないように
J-136	負けを取り戻そうと焦るとよけいはまる。無心でいくのがカギ
K-136	強い人の胸を借りるつもりで。負けても授業料だと心得ること
L-136	流局の連続で熱が急速に冷めてくる模様。メンツは多めに揃える
A-137	冒険心は失敗の元。安全第一で一番人気を狙っていくように
B-137	途中で弱気になって負けてしまう暗示。初心貫徹、粘り腰で
C-137	狙いの馬が一杯になりがっかり。パドックの様子をしっかり観察
D-137	詰めの甘さが損失を招きそう。押さえをしっかりしておくこと
E-137	勝負どころではずしてコテンコテンに負けそう。決断心を
F-137	負けを取り戻そうとして大負けの暗示。早めに見切りをつける
G-137	ムキになりやすい。負けているときはとにかく頭をひやす
H-137	読みが浅く、あとで考えればわかるトリックにひっかかりやすい
I-137	はまりこみやすく泥沼の様相。ＣＲ機は敬遠した方が正解
J-137	振り込まれて大負けの予感。最後の最後まで油断しないこと
K-137	仕掛けたワナに自らはまってしまう。人の目つきに注意する
L-137	タイミングを失してしまう。損失はわずかでもイラツキは倍増
A-138	最初が調子いいだけに負け出すと後がこわい。早めに撤収を
B-138	勝者のオゴリが大転落へと導く。盛者必衰、謙虚さを忘れない
C-138	ここというときに弱気になって勝負に負ける。敵に背をむけない
D-138	せっかくの当たり券を失ってしまう暗示。熱中しすぎに注意
E-138	どうやっても結局はまけてしまう。資金をあらかじめ決めておく
F-138	不調と知りながらやめられない。自分に対する厳しさが必要
G-138	カモにするするつもりがカモにされる。相手を見くびらない
H-138	気分悪い結果に終わりそう。ヤケを起こして深酒をしないように
I-138	出だしから調子悪いとき。すこし気分をいれかえてみるといいかも
J-138	相手の思うつぼにはまってしまう。強そうな相手とは対戦しない
K-138	守りに回るとコテンパンにやられてしまう。負け始めたら身を引く
L-138	欲が出てきてツキから見放される。深追いせずに切り上げること
A-139	熱くなりすぎて、気がついたらオケラに。作戦をしっかりたてる
B-139	オケラ街道まっしぐら。今日はいくら血が騒いでもでていかない
C-139	裏目裏目にでやすい。今日は家で昼寝でもしていた方がまし
D-139	落馬・落車でドツボにはまる暗示。今日はパスしておきましょう
E-139	不穏な雲行き。八百長・チョンボとは知らずのめり込みそう
F-139	頼みの綱に馬っ気だされて大逆上の暗示。今日はやめて正解
G-139	入れ込みがひどく勝負前から負けがみえるかも。早々と退散を
H-139	ギャンブル依存症になりかかっているかも。しばらく禁ギャンを
I-139	今日のギャンブルはお休み。おとなしくしているのが一番
J-139	一日ツイていない。家の中でゴロ寝でもしていたほうがまし
K-139	熱中しすぎに注意。そのうち、家族から冷たくあしらわれそう
L-139	運気最低。今日のギャンブルはお金をどぶに捨てるようなもの
A-140	今日は作戦タイム。今後の計画を。意外な盲点に気づくかも
B-140	好調な中にも落とし穴が。熱くなりすぎないように注意を
C-140	馬体重が増えた中から選ぶと吉とでそう。ただ、増えすぎは×
D-140	外野がやかましくても、とにかく思った通りに出てみて正解
E-140	ゲンの担ぎすぎに注意。せっかくのいい運気がマイナスに
F-140	マナーを守ると勝利の女神の微笑が。外れ券でもきちんとゴミ箱へ
G-140	今日は確実路線で。家庭サービスをしておくと勝機がＵＰする
H-140	手堅く行って正解。思い切って大穴を狙っても損するだけ
I-140	面白みには欠けるけれど、そこそこにＯＫ。二重丸（◎）狙いで
J-140	打ち方の勉強を。新しいテクニックで明日の配当は倍増かも
K-140	評判の宝くじ売場の情報がつかめる。下見だけしておくこと
L-140	手堅く攻めてさっと身を引く。レース場近くの神社でお参りを
A-141	欲がからまなければいい結果が出せる。人のための予想に吉
B-141	夢判断が役立ちそう。まず、昨夜見た夢をおもいだしてみる
C-141	雑誌から思わぬ攻略法がみつかる。一度、試してみる価値あり
D-141	いいところまでいくけれども足踏み状態。リラックスしてかかる
E-141	残りわずかというところで調子に乗ってくる。ラスト・スパートを
F-141	勝ちだすととまらない。でも、調子に乗るまでに時間がかかりそう
G-141	勝ってもなぜか手放しでは喜べない。元がとれればいいと心得る
H-141	負けだしても途中で方針を変えない。狙った台ではひたすら粘る
I-141	集中力が決め手。短期決戦で勝負し、さっと切り上げること
J-141	敗者への敬意が運気をＵＰさせる。肯癖の馬にも勝機があるかも
K-141	最近好調な友人と一緒にいるとツキが。食事ぐらいはおごること
L-141	勝ったときのことを強くイメージすることでツキが回ってくる
A-142	出たとこ勝負の運気。ケントク買いに〈意外や意外〉の展開が
B-142	戦に勝って勝負に負ける。もうけても何となく納得できないかも
C-142	「勝って兜の緒を締めよ。」一勝したぐらいでいい気にならない
D-142	コミュニケーション重視で。パーラー店員と話すといいかも
E-142	時間とともに運気が上向きに。なるべく遅めに参加するといい
F-142	ピンチはチャンス。どん底のときぐっとふんばると新たな展望が
G-142	人が殺到するナンバーズ売り場にツキ。友達から情報を集める
H-142	鉄砲に注目。少々足取りがおぼつかなく見えても損はないはず
I-142	攻撃は最大の防御。強気でどんどん攻めていくのが今日のポイント
J-142	意気込みに左右される勝運。「絶対に勝つ！」という心意気で
K-142	昔得意だった手法をリバイバルしてみる。１、２回は通用するはず
L-142	競馬仲間などのネットワークから、今後の参考になるいい情報あり
A-143	ガセネタをつかまされる。妙な攻略法に気を取られないこと
B-143	後輩を誘ってプレイを。儲けを考えずコミュニケーション優先で
C-143	人のを見てると勝てそうなんだけど、いざやってみるとだめ
D-143	引き際の見定めが肝心。ズルズルとしがみついていると泥沼に
E-143	優柔不断になり、判断が裏目裏目に出る暗示。強気の構えで
F-143	波乱に満ちていて読みが難しいとき。危険分散型の攻め方で
G-143	不安が心をよぎることが多そう。見ているだけにしておいた方が
H-143	弱気になりがち。ライバルに見破られたらいいカモにされそう
I-143	運気は中盤戦からダウン。第一戦から参加し途中で引き上げる
J-143	出鼻をくじかれ戦意喪失。手始めは少額からいくのがポイント
K-143	後味悪くゲームを終える暗示。今日の失敗を明日に生かすこと
L-143	致命的ミスはないものの不満足な結果に。反省に時間をかける
A-144	不安的中。危ないと思ったらやめて正解。強引にいくと後悔する
B-144	やや不調。ここ！というときに弱気になって大穴を逃してしまう
C-144	初顔合わせに弱いとき。でも拝見したお手並みは今後の参考になる
D-144	狙った手が読まれがち。目線や顔色など伺われていないか注意する
E-144	ゲン担ぎのグッズを忘れたり失う暗示。むやみに取り出さないこと
F-144	儲けるギャンブルよりも当てるギャンブルを。本命一本で勝負する
G-144	自分のセオリーにしがみつかない。他人の買い方を参考にすること
H-144	悩めば悩むほど考えがまとまらずツキがダウン。判断に自信を持つ
I-144	人にツキを吸い取られる。友達と誘い合ってのゲームはパスしたい
J-144	無意識のネガティブさが運気に悪影響。心の底から当たると信じて
K-144	波に乗りきれずゲームオーバー。開始前からウオーミングアップを
L-144	なかなか決断しきれず運を逃す暗示。自分の理論に自信を持つこと
